(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B07RHVH27Q,B01MQR2BVY,"Southern Marsh Men's River Routes NC - SC T-Shirt, Short Sleeve Tee, Navy, Small",16,0,0.07%,0.00%,20,0,0.07%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0DX15TDMG,B01MR5POCQ,"Southern Marsh Men’s Authentic Heritage Long Sleeve T-Shirt, Virginia Long Sleeve Tee, Navy, Small",1,0,0.00%,0.00%,2,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01N33JEME,B01MR5PQ43,"Carlyle Sporting Vest - Heathered,Dark Olive,Medium",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09GTXKG3C,B01MR7F5C7,"Dockside Swim Trunk, Red, XX-Large",2,0,0.01%,0.00%,2,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00WNJ8C1U,B01MR98EHT,"Southern Marsh Signature Hat, Burnt Orange with White",18,1,0.07%,0.46%,24,1,0.08%,0.37%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01M0JTRAT,B01MRFUNOQ,"Youth Ls Authentic, Washed Red, Youth Small",5,0,0.02%,0.00%,5,0,0.02%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01N1NB2M0,B01MRSGD3G,"Southern Marsh Hanover Boxer - Mint Julep & Horseshoes, Light Blue, Small",4,0,0.02%,0.00%,4,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00NBJSYLY,B01MSEVTA1,"Tarpon Flats Fishing Short, Medium, Antigua Blue",1,0,0.00%,0.00%,1,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00NB9R6MM,B01MT8SY7S,"Southern Marsh Men’s Authentic Heritage Long Sleeve T-Shirt, Florida Long Sleeve Tee, Bimini Green, Small",2,0,0.01%,0.00%,3,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01MUADU6S,B01MUADU6S,Regatta Short 8,4,0,0.02%,0.00%,6,0,0.02%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01MUAEMU2,B01MUAEMU2,Southern Marsh Men’s Embroidered T-Shirt – Short Sleeve Casual Graphic Tee,5,0,0.02%,0.00%,6,0,0.02%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
