(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B07XSFNKG3,B09TGHDS86,"Southern Marsh Men's Authentic Rewind T-Shirt, Short Sleeve Tee, Seafoam, Large",87,3,0.36%,1.37%,121,4,0.40%,1.49%,100.00%,100.00%,17,0,19.54%,0.00%,$595.00,$0.00,17,0
B07XSFNKG3,B09TGL3NJW,"Southern Marsh Men's Authentic Rewind T-Shirt, Short Sleeve Tee, Seafoam, Medium",109,1,0.45%,0.46%,150,1,0.49%,0.37%,100.00%,0.00%,12,0,11.01%,0.00%,$420.00,$0.00,12,0
B00KZ1DH8G,B00WKF9UV8,"Southern Marsh Men's Authentic T-Shirt, Short Sleeve Tee, Teal, Medium",287,1,1.19%,0.46%,415,1,1.36%,0.37%,100.00%,0.00%,8,0,2.79%,0.00%,$200.00,$0.00,8,0
B097S5DHZZ,B09TGK6LDR,"Southern Marsh Men’s Warning Duck T-Shirt, Short Sleeve Tee, Washed Camellia, Large",117,0,0.49%,0.00%,146,0,0.48%,0.00%,100.00%,0.00%,8,0,6.84%,0.00%,$200.00,$0.00,8,0
B00KZ1DH8G,B00K3C5VA4,"Southern Marsh Men's Authentic T-Shirt, Short Sleeve Tee, Bimini Green, Large",130,1,0.54%,0.46%,169,1,0.55%,0.37%,100.00%,0.00%,7,0,5.38%,0.00%,$245.00,$0.00,7,0
B06WLHVKVJ,B00VTWHSK8,"Southern Marsh Youth’s Authentic T-Shirts, Short Sleeve Shirts, Breaker Blue, Large",71,0,0.30%,0.00%,84,0,0.28%,0.00%,100.00%,0.00%,7,0,9.86%,0.00%,$210.00,$0.00,7,0
B097S5DHZZ,B09TGG2BZF,"Southern Marsh Men’s Warning Duck T-Shirt, Short Sleeve Tee, Washed Camellia, X-Large",71,2,0.30%,0.91%,92,3,0.30%,1.12%,100.00%,0.00%,7,0,9.86%,0.00%,$175.00,$0.00,7,0
B07XSFNKG3,B09TGHTPQD,"Southern Marsh Men's Authentic Rewind T-Shirt, Short Sleeve Tee, Seafoam, X-Large",217,3,0.90%,1.37%,280,5,0.92%,1.86%,100.00%,0.00%,7,0,3.23%,0.00%,$245.00,$0.00,7,0
B00KZ1DH8G,B00K3C6374,"Southern Marsh Men's Authentic Heritage Florida T-Shirt, Short Sleeve Tee, Bimini Green, Small",138,0,0.57%,0.00%,163,0,0.54%,0.00%,100.00%,0.00%,6,0,4.35%,0.00%,$210.00,$0.00,6,0
B097S37XXZ,B09TGJFK5N,"Southern Marsh Men’s SEAWASH Classic T-Shirt, Short Sleeve Tee, Strawberry Fizz, X-Large",25,0,0.10%,0.00%,39,0,0.13%,0.00%,100.00%,0.00%,6,0,24.00%,0.00%,$240.00,$0.00,5,0
B00KZ1DH8G,B01NAM5M7V,"Southern Marsh Men’s Authentic T-Shirt, Short Sleeve Tee, Washed Moss Blue, XX-Large",34,0,0.14%,0.00%,49,0,0.16%,0.00%,100.00%,0.00%,4,0,11.76%,0.00%,$140.00,$0.00,4,0
B09TG8HQDR,B09TGFX814,"Southern Marsh Men's Teal Takeoff T-Shirt, Short Sleeve Tee, Washed Slate, Medium",38,1,0.16%,0.46%,47,1,0.15%,0.37%,100.00%,100.00%,4,1,10.53%,100.00%,$140.00,$35.00,4,1
B097S37XXZ,B09TGJK8Z7,"Southern Marsh Men’s SEAWASH Classic T-Shirt, Short Sleeve Tee, Strawberry Fizz, Medium",37,0,0.15%,0.00%,53,0,0.17%,0.00%,100.00%,0.00%,4,0,10.81%,0.00%,$160.00,$0.00,4,0
B08W22YKBG,B00JMW0Q1K,"Southern Marsh Visor, Navy with White, 0",40,2,0.17%,0.91%,66,3,0.22%,1.12%,100.00%,100.00%,3,0,7.50%,0.00%,$45.00,$0.00,3,0
B06WLHVKVJ,B01LDG4SV6,"Southern Marsh Youth’s Authentic T-Shirts, Short Sleeve Shirts, Navy, Medium",30,0,0.12%,0.00%,35,0,0.11%,0.00%,100.00%,0.00%,3,0,10.00%,0.00%,$75.00,$0.00,3,0
B01NBXZLAT,B01MUHXIUZ,"Southern Marsh, Trucker Hat - Hunting Dog, Burnt Orange, One Size",72,1,0.30%,0.46%,102,1,0.33%,0.37%,100.00%,100.00%,3,0,4.17%,0.00%,$45.00,$0.00,3,0
B00KZ1DH8G,B076JHFKJZ,"Southern Marsh Men's Authentic T-Shirt, Short Sleeve Tee, Washed Oatmeal, Small",80,1,0.33%,0.46%,101,1,0.33%,0.37%,100.00%,0.00%,3,0,3.75%,0.00%,$105.00,$0.00,3,0
B0865TY19J,B08R13CNH8,"Southern Marsh Seawash Swim Trunks - Colorblock, Teal & Coral, Medium",36,1,0.15%,0.46%,44,1,0.14%,0.37%,100.00%,100.00%,3,0,8.33%,0.00%,$88.50,$0.00,3,0
B08WZBRP1D,B08WYRCSH1,"Southern Marsh Tour Visor, White with Navy, 0",34,0,0.14%,0.00%,48,0,0.16%,0.00%,100.00%,0.00%,3,0,8.82%,0.00%,$75.00,$0.00,3,0
B09TG8HQDR,B09TGCXWYG,"Southern Marsh Men's Teal Takeoff T-Shirt, Short Sleeve Tee, Washed Slate, Large",20,0,0.08%,0.00%,28,0,0.09%,0.00%,92.00%,0.00%,3,0,15.00%,0.00%,$105.00,$0.00,3,0
B097S37XXZ,B09TGDGCXH,"Southern Marsh Men’s SEAWASH Classic T-Shirt, Short Sleeve Tee, Strawberry Fizz, Large",58,0,0.24%,0.00%,79,0,0.26%,0.00%,100.00%,0.00%,3,0,5.17%,0.00%,$120.00,$0.00,3,0
B097S5DHZZ,B09TGJGZMM,"Southern Marsh Men's Warning Duck T-Shirt, Short Sleeve Tee, Washed Camellia, XX-Large",16,0,0.07%,0.00%,21,0,0.07%,0.00%,100.00%,0.00%,3,0,18.75%,0.00%,$75.00,$0.00,3,0
B0BJS7JQ9C,B0BZWMRD6F,"Southern Marsh Men's SEAWASH Branding - Tradition T-Shirt, Short Sleeve Tee, Terracotta, Large",60,0,0.25%,0.00%,86,0,0.28%,0.00%,100.00%,0.00%,3,0,5.00%,0.00%,$90.00,$0.00,3,0
B00KZ1DH8G,B00K3C66SK,"Southern Marsh Men's Authentic T-Shirt, Short Sleeve Tee, Bimini Green, X-Large",105,0,0.44%,0.00%,123,0,0.40%,0.00%,100.00%,0.00%,2,0,1.90%,0.00%,$70.00,$0.00,2,0
B09GTXKG3C,B00KZ1C5SY,"Southern Marsh Dockside Swim Trunks, Aqua Blue, Medium",7,0,0.03%,0.00%,14,0,0.05%,0.00%,100.00%,0.00%,2,0,28.57%,0.00%,$118.00,$0.00,2,0
B09GTXKG3C,B00L3P17SU,"Southern Marsh Dockside Swim Trunks, Aqua Blue, Small",28,2,0.12%,0.91%,33,2,0.11%,0.74%,100.00%,100.00%,2,0,7.14%,0.00%,$118.00,$0.00,2,0
B01MUAEMU2,B00VO34RHE,"Southern Marsh Men's Stewart Pocket Seersucker T-Shirt, Short Sleeve Tee, Bimini Green with Pink, Large",25,1,0.10%,0.46%,29,1,0.10%,0.37%,88.00%,100.00%,2,1,8.00%,100.00%,$50.00,$25.00,2,1
B00KZ1DH8G,B00WKENQ28,"Southern Marsh Men's Authentic T-Shirt, Short Sleeve Tee, White, XX-Large",73,1,0.30%,0.46%,97,1,0.32%,0.37%,100.00%,0.00%,2,0,2.74%,0.00%,$70.00,$0.00,2,0
B00KZ1DH8G,B00WKET3I4,"Southern Marsh Men's Authentic T-Shirt, Short Sleeve Tee, White, Medium",29,0,0.12%,0.00%,37,0,0.12%,0.00%,3.23%,0.00%,2,0,6.90%,0.00%,$70.00,$0.00,2,0
B01BNV8SOO,B00ZYIQVAQ,"Southern Marsh Men's Nashville Gingham Dress Shirts, Long Sleeve Shirt, Dark Green, Small",82,0,0.34%,0.00%,114,0,0.37%,0.00%,100.00%,0.00%,2,0,2.44%,0.00%,$100.00,$0.00,2,0
B01MXT8NCZ,B00ZYJ3WT8,"Southern Marsh The Seawash Grayton Twill Pants, Coral, W34L34",6,0,0.02%,0.00%,10,0,0.03%,0.00%,100.00%,0.00%,2,0,33.33%,0.00%,$80.00,$0.00,2,0
B00WNJ8C1U,B0100XOAJ8,"Southern Marsh, Signature Hat, White with Orange, One Size",36,1,0.15%,0.46%,41,1,0.13%,0.37%,100.00%,100.00%,2,0,5.56%,0.00%,$30.00,$0.00,2,0
B01GSQ29J4,B01GTX2LNA,Southern Marsh Washed Coral Visor with Navy Duck,71,4,0.30%,1.83%,77,4,0.25%,1.49%,100.00%,100.00%,2,0,2.82%,0.00%,$40.00,$0.00,2,0
B08W22YKBG,B01LX0Y14B,"Southern Marsh, Seersucker Visor, Blue Stripe with Navy, One Size",33,1,0.14%,0.46%,46,1,0.15%,0.37%,100.00%,100.00%,2,0,6.06%,0.00%,$40.00,$0.00,2,0
B01NBXZLAT,B01MRWRVD2,"Southern Marsh Men's Hunting Dog Trucker Hat ,One Size,Dark Olive",51,0,0.21%,0.00%,62,0,0.20%,0.00%,100.00%,0.00%,2,0,3.92%,0.00%,$30.00,$0.00,2,0
B08W22YKBG,B01N9T4MVJ,"Southern Marsh Visor, Purple with Yellow, 0",26,0,0.11%,0.00%,31,0,0.10%,0.00%,100.00%,0.00%,5,0,19.23%,0.00%,$75.00,$0.00,2,0
B00KZ1DH8G,B06XDJP3VK,"Southern Marsh Men's Authentic T-Shirt, Short Sleeve Tee, Washed Sky Blue, Medium",37,0,0.15%,0.00%,38,0,0.12%,0.00%,0.00%,0.00%,2,0,5.41%,0.00%,$70.00,$0.00,2,0
B01MXT8NCZ,B074FBXC3W,"Southern Marsh The Seawash Grayton Twill Pants, Lilac, W32L32",19,0,0.08%,0.00%,24,0,0.08%,0.00%,100.00%,0.00%,2,0,10.53%,0.00%,$80.00,$0.00,2,0
B01MXT8NCZ,B074FG5DC1,"Southern Marsh The Seawash Grayton Twill Pants, Melon, W32L30",4,0,0.02%,0.00%,6,0,0.02%,0.00%,100.00%,0.00%,2,0,50.00%,0.00%,$80.00,$0.00,2,0
B01MXT8NCZ,B074FH113C,"Southern Marsh The Seawash Grayton Twill Pants, Mint, W32L32",14,0,0.06%,0.00%,19,0,0.06%,0.00%,100.00%,0.00%,2,0,14.29%,0.00%,$80.00,$0.00,2,0
B07RHVH27Q,B074L9H9HK,"Southern Marsh Men's River Routes NC - SC T-Shirt, Short Sleeve Tee, Melon, Medium",20,0,0.08%,0.00%,20,0,0.07%,0.00%,100.00%,0.00%,2,0,10.00%,0.00%,$40.00,$0.00,2,0
B01BNV6PXU,B074LBL7DH,"Southern Marsh Men's River Routes T-Shirt, Short Sleeve Tee, Paddles Midnight Gray, Small",42,1,0.17%,0.46%,52,4,0.17%,1.49%,100.00%,0.00%,2,0,4.76%,0.00%,$50.00,$0.00,2,0
B09D8SGS61,B074P5WC3F,"Southern Marsh, Thompson Twill Hat - Summit, Washed Blue, One Size",15,0,0.06%,0.00%,33,0,0.11%,0.00%,100.00%,0.00%,2,0,13.33%,0.00%,$30.00,$0.00,2,0
B06WLHVKVJ,B0751K49N4,"Southern Marsh Youth Authentic, White, Youth Medium",92,0,0.38%,0.00%,115,0,0.38%,0.00%,100.00%,0.00%,2,0,2.17%,0.00%,$40.00,$0.00,2,0
B00NB9NB44,B077MP4KSP,"Southern Marsh Women’s Rebecca Long Sleeve T-Shirt, Jersey Shirts, Melon with Purple, Medium",398,3,1.65%,1.37%,453,3,1.49%,1.12%,100.00%,0.00%,2,0,0.50%,0.00%,$50.00,$0.00,2,0
B00KZ1DH8G,B07BBVS56M,"Southern Marsh Men's Authentic T-Shirt, Short Sleeve Tee, Washed Oatmeal, XXX-Large",12,0,0.05%,0.00%,15,0,0.05%,0.00%,100.00%,0.00%,2,0,16.67%,0.00%,$70.00,$0.00,2,0
B07GZ9TH7T,B07BHSG23D,"Berkeley Performance Polo - Striped, Red and Navy, Large",12,0,0.05%,0.00%,15,0,0.05%,0.00%,100.00%,0.00%,2,0,16.67%,0.00%,$150.00,$0.00,2,0
B07DHVYRS6,B07DHXZ94H,"Southern Marsh Men's Authentic Heritage Oklahoma T-Shirt, Short Sleeve Tee, Orange, Small",174,1,0.72%,0.46%,240,1,0.79%,0.37%,100.00%,0.00%,2,0,1.15%,0.00%,$40.00,$0.00,2,0
B07HQ9WMRK,B07PSRSBMD,"Southern Marsh Men's Louisville Performance Windowpane Dress Shirts, Long Sleeve Shirt, Peach and Mint, Large",25,1,0.10%,0.46%,29,1,0.10%,0.37%,100.00%,100.00%,2,0,8.00%,0.00%,$190.00,$0.00,2,0
B06XXYBYKQ,B084NTBR5C,"The Brighton Short - Marrakesh, Navy and Pink, WS4",5,0,0.02%,0.00%,5,0,0.02%,0.00%,0.00%,0.00%,2,0,40.00%,0.00%,$98.00,$0.00,2,0
B01M0JTRAT,B08CVTHBDB,"Southern Marsh Youth Ls Authentic, Washed Berry, Youth Large",3,0,0.01%,0.00%,7,0,0.02%,0.00%,100.00%,0.00%,2,0,66.67%,0.00%,$68.00,$0.00,2,0
B08D5TZWP8,B08D5KDG7S,"Southern Marsh Youth’s Embroidered T-Shirts, Short Sleeve Shirts, Electric Lime with Pink, Large",41,1,0.17%,0.46%,54,1,0.18%,0.37%,100.00%,100.00%,2,0,4.88%,0.00%,$40.00,$0.00,2,0
B0865TY19J,B08R12RD5W,"Southern Marsh Seawash Swim Trunks - Colorblock, Navy & Blue, Large",13,0,0.05%,0.00%,20,0,0.07%,0.00%,100.00%,0.00%,2,0,15.38%,0.00%,$90.00,$0.00,2,0
B08R12WHYH,B08R12TJPX,"Southern Marsh Men’s SEAWASH Waves T-Shirt, Short Sleeve Tee, Coral, X-Large",11,0,0.05%,0.00%,11,0,0.04%,0.00%,100.00%,0.00%,2,0,18.18%,0.00%,$80.00,$0.00,2,0
B08R173RDW,B08R12W67G,"Southern Marsh Youth Harbor Swim Trunks - Faded Lines, Slate & Light Blue, Large",12,0,0.05%,0.00%,15,0,0.05%,0.00%,100.00%,0.00%,2,0,16.67%,0.00%,$39.00,$0.00,2,0
B08R13G3TV,B08R12Y36N,"Southern Marsh Malibu Stretch Seawash Swim Trunks, Coral, Small",17,0,0.07%,0.00%,22,0,0.07%,0.00%,100.00%,0.00%,2,0,11.76%,0.00%,$59.00,$0.00,2,0
B08WZBRP1D,B08WYZ96FV,"Southern Marsh Tour Visor, Slate with Green, 0",22,0,0.09%,0.00%,26,0,0.09%,0.00%,95.83%,0.00%,2,0,9.09%,0.00%,$50.00,$0.00,2,0
B01GSQ29J4,B08WZ7H9J2,"Southern Marsh Washed Visor, Slate with Green, 0",42,1,0.17%,0.46%,48,2,0.16%,0.74%,100.00%,100.00%,2,0,4.76%,0.00%,$40.00,$0.00,2,0
B08XB16MM7,B08X9QB4P9,"Southern Marsh Men's Naau Performance Plaid Dress Shirts, Long Sleeve Shirt, Slate & French Blue, X-Large",11,0,0.05%,0.00%,19,0,0.06%,0.00%,100.00%,0.00%,2,0,18.18%,0.00%,$140.00,$0.00,2,0
B09GL1KFRQ,B09GL2S25S,"Southern Marsh, SEAWASH Newell French Terry Sweatshirt, Washed Navy, X-Large",1,0,0.00%,0.00%,3,0,0.01%,0.00%,100.00%,0.00%,2,0,200.00%,0.00%,$100.00,$0.00,2,0
B09TG8HQDR,B09TGFWLBK,"Southern Marsh Men's Teal Takeoff T-Shirt, Short Sleeve Tee, Washed Slate, X-Large",62,1,0.26%,0.46%,74,1,0.24%,0.37%,100.00%,100.00%,2,0,3.23%,0.00%,$70.00,$0.00,2,0
B097S37XXZ,B09TGG5KKV,"Southern Marsh Men’s SEAWASH Classic T-Shirt, Short Sleeve Tee, Strawberry Fizz, Small",19,0,0.08%,0.00%,26,0,0.09%,0.00%,87.50%,0.00%,2,0,10.53%,0.00%,$80.00,$0.00,2,0
B097S5DHZZ,B09TGHMT8Q,"Southern Marsh Men’s Warning Duck T-Shirt, Short Sleeve Tee, Washed Camellia, Medium",48,0,0.20%,0.00%,66,0,0.22%,0.00%,0.00%,0.00%,2,0,4.17%,0.00%,$50.00,$0.00,2,0
B09TGCTZ2D,B09TGL4Z7V,"Southern Marsh, MarshLUX Mangrove Pique Polo, French Blue, Small",24,1,0.10%,0.46%,31,1,0.10%,0.37%,100.00%,0.00%,2,0,8.33%,0.00%,$89.00,$0.00,2,0
B09X6KB9SX,B09X6DD9DW,"Southern Marsh, Youth Caicos Performance Dress Shirt, Blue & Coral, Large",13,1,0.05%,0.46%,24,1,0.08%,0.37%,100.00%,0.00%,2,0,15.38%,0.00%,$118.00,$0.00,2,0
B09XWX6DDL,B09XWX6DDL,"Southern Marsh Youth Harbor Swim Trunks - Barelona Lines, Slate & Teal, Youth Large",16,0,0.07%,0.00%,27,0,0.09%,0.00%,100.00%,0.00%,2,0,12.50%,0.00%,$49.00,$0.00,2,0
B0BFJTV9RV,B0BFJW47P6,"Southern Marsh Men's Hays Performance Check Dress Shirts, Long Sleeve Shirt, French Blue & White, Medium",20,0,0.08%,0.00%,27,0,0.09%,0.00%,100.00%,0.00%,2,0,10.00%,0.00%,$190.00,$0.00,2,0
B0BFJTV9RV,B0BFJWLTQ2,"Southern Marsh Men's Hays Performance Check Dress Shirts, Long Sleeve Shirt, Navy & Light Blue, Small",31,1,0.13%,0.46%,43,1,0.14%,0.37%,100.00%,100.00%,2,0,6.45%,0.00%,$95.00,$0.00,2,0
B0FHK8L8XS,B0F8MFXXTJ,"Southern Marsh Men's SEAWASH Floatplane Takeoff T-Shirt, Short Sleeve Tee, Burnt Taupe, X-Large",5,0,0.02%,0.00%,8,0,0.03%,0.00%,0.00%,0.00%,2,0,40.00%,0.00%,$80.00,$0.00,2,0
B06WLHVKVJ,B0F8MV5BRD,"Southern Marsh Youth's Authentic T-Shirt, Short Sleeve Tee, Terracotta, Large",62,1,0.26%,0.46%,79,1,0.26%,0.37%,1.35%,0.00%,2,0,3.23%,0.00%,$50.00,$0.00,2,0
B0FHL2QMZR,B0F8MX7XKK,"Southern Marsh Men's SEAWASH Distant Shores T-Shirt, Short Sleeve Tee, Bimini Green, Large",6,0,0.02%,0.00%,6,0,0.02%,0.00%,100.00%,0.00%,2,0,33.33%,0.00%,$80.00,$0.00,2,0
B06WLHVKVJ,B0F8MXJFMR,"Southern Marsh Youth's Authentic T-Shirt, Short Sleeve Tee, Terracotta, Medium",35,0,0.15%,0.00%,36,0,0.12%,0.00%,100.00%,0.00%,2,0,5.71%,0.00%,$60.00,$0.00,2,0
B0FHLR3RS9,B0F8NBZ5ZW,"Southern Marsh Men's Marlin Motoring T-Shirt, Short Sleeve Tee, Bluestone, Medium",4,0,0.02%,0.00%,4,0,0.01%,0.00%,100.00%,0.00%,2,0,50.00%,0.00%,$35.00,$0.00,2,0
B01MUAEMU2,B00KZ1CPH0,"Southern Marsh Men’s Embroidered Breaker Blue with Yellow T-Shirt, Short Sleeve Tee, Small",92,0,0.38%,0.00%,112,0,0.37%,0.00%,100.00%,0.00%,1,0,1.09%,0.00%,$25.00,$0.00,1,0
B00NB9NB44,B00PQ1ZMI8,"Southern Marsh Women’s Rebecca Long Sleeve T-Shirt, Jersey Shirts, Bimini Green with Pink, Small",20,0,0.08%,0.00%,22,0,0.07%,0.00%,100.00%,0.00%,1,0,5.00%,0.00%,$25.00,$0.00,1,0
B00N5AHN7K,B00PQ3R77A,"Ls Authentic, Lilac, Large",0,0,0.00%,0.00%,0,0,0.00%,0.00%,0.00%,0.00%,1,0,0.00%,0.00%,$30.00,$0.00,1,0
B00NB9NB44,B00PQ6GM28,"Southern Marsh Women’s Rebecca Long Sleeve T-Shirt, Jersey Shirts, Maroon with Black, Medium",24,0,0.10%,0.00%,28,0,0.09%,0.00%,100.00%,0.00%,1,0,4.17%,0.00%,$25.00,$0.00,1,0
B01MUADU6S,B00UVV607U,Southern Marsh Regatta Shorts 8,6,0,0.02%,0.00%,7,0,0.02%,0.00%,100.00%,0.00%,1,0,16.67%,0.00%,$45.00,$0.00,1,0
B0DD6KB9KM,B00UW08GLI,"Southern Marsh Men’s Cocktail Collection Sazerac T-Shirt, Short Sleeve Tee, Melon, Small",101,0,0.42%,0.00%,122,0,0.40%,0.00%,100.00%,0.00%,1,0,0.99%,0.00%,$20.00,$0.00,1,0
B09GTXKG3C,B00V3MWNQS,"Southern Marsh Dockside Swim Trunk, Audubon Tan, XX-Large",5,0,0.02%,0.00%,6,0,0.02%,0.00%,100.00%,0.00%,1,0,20.00%,0.00%,$59.00,$0.00,1,0
B0DP5VBZL5,B00VSANT1I,"Southern Marsh Men's Stewart Pocket Gingham T-Shirt, Short Sleeve Tee, Antigua Blue with Navy, Large",10,0,0.04%,0.00%,13,0,0.04%,0.00%,100.00%,0.00%,1,0,10.00%,0.00%,$25.00,$0.00,1,0
B09GTXKG3C,B00W2HKOLE,"Southern Marsh Dockside Swim Trunk, Audubon Tan, Large",5,0,0.02%,0.00%,7,0,0.02%,0.00%,100.00%,0.00%,1,0,20.00%,0.00%,$59.00,$0.00,1,0
B079HZ2RKN,B00WIM7I30,"Southern Marsh Authentic - Tank, Bimini Green with Purple, Medium",5,0,0.02%,0.00%,7,0,0.02%,0.00%,85.71%,0.00%,1,0,20.00%,0.00%,$15.00,$0.00,1,0
B00KZ1DH8G,B00WKEU2FC,"Southern Marsh Men's Authentic T-Shirt, Short Sleeve Tee, White, Small",4,0,0.02%,0.00%,6,0,0.02%,0.00%,83.33%,0.00%,1,0,25.00%,0.00%,$35.00,$0.00,1,0
B00ZRQEVOS,B00ZRQEVOS,"Southern Marsh Men’s Cocktail Collection Mint Julep T-Shirt, Short Sleeve Tee, Light Yellow, Small",28,0,0.12%,0.00%,37,0,0.12%,0.00%,93.55%,0.00%,1,0,3.57%,0.00%,$20.00,$0.00,1,0
B01MUAEMU2,B00ZYHVZ6M,"Southern Marsh Men's Stewart Pocket Seersucker T-Shirt, Short Sleeve Tee, Maroon with Black, Large",22,0,0.09%,0.00%,22,0,0.07%,0.00%,100.00%,0.00%,1,0,4.55%,0.00%,$25.00,$0.00,1,0
B00ZYHXQE6,B00ZYHXQE6,"Southern Marsh Visor, Red with White, 0",6,0,0.02%,0.00%,7,0,0.02%,0.00%,100.00%,0.00%,1,0,16.67%,0.00%,$15.00,$0.00,1,0
B09GTXKG3C,B00ZYI9568,"Southern Marsh Dockside Swim Trunks, Neon Yellow, Large",19,2,0.08%,0.91%,24,2,0.08%,0.74%,100.00%,0.00%,1,0,5.26%,0.00%,$45.00,$0.00,1,0
B00WVONCL2,B00ZYIE89C,"Southern Marsh Dockside Swim Trunks - Seersucker Gingham, Purple and Yellow, Medium",23,0,0.10%,0.00%,27,0,0.09%,0.00%,100.00%,0.00%,1,0,4.35%,0.00%,$30.00,$0.00,1,0
B071V4FPRR,B00ZYIKNY6,"Southern Marsh Men's Evans Gingham Dress Shirts, Long Sleeve Shirt, Lilac Lime & Teal, Small",175,3,0.73%,1.37%,282,3,0.93%,1.12%,100.00%,100.00%,1,0,0.57%,0.00%,$50.00,$0.00,1,0
B07CKZJKXN,B00ZYIRK38,"Southern Marsh Men's Nottoway Check Wrinkle Free Dress Shirts, Long Sleeve Shirt, Burnt Orange & Navy, Small",104,1,0.43%,0.46%,145,1,0.48%,0.37%,100.00%,0.00%,1,0,0.96%,0.00%,$50.00,$0.00,1,0
B0DD6KB9KM,B00ZYIRN1M,"Southern Marsh Men’s Cocktail Collection Sazerac T-Shirt, Short Sleeve Tee, Melon, Medium",29,0,0.12%,0.00%,42,0,0.14%,0.00%,96.77%,0.00%,1,0,3.45%,0.00%,$20.00,$0.00,1,0
B07CKZJKXN,B00ZYIRY6G,"Southern Marsh Men's Nottoway Check Wrinkle Free Dress Shirts, Long Sleeve Shirt, Wine & Green, Small",63,0,0.26%,0.00%,74,0,0.24%,0.00%,100.00%,0.00%,1,0,1.59%,0.00%,$50.00,$0.00,1,0
B01A9BOQFY,B00ZYIXL8Q,"Authentic Heritage - Georgia, Red, Small",2,0,0.01%,0.00%,2,0,0.01%,0.00%,100.00%,0.00%,1,0,50.00%,0.00%,$20.00,$0.00,1,0
B06WLHVKVJ,B01540V2M0,"Southern Marsh Youth’s Authentic T-Shirts, Short Sleeve Shirts, Breaker Blue, Medium",58,0,0.24%,0.00%,60,0,0.20%,0.00%,100.00%,0.00%,1,0,1.72%,0.00%,$30.00,$0.00,1,0
B06XT53KQT,B0160BII1A,"Southern Marsh Ls Cocktail Collection - Mint Julep, Light Blue, Medium",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,$25.00,$0.00,1,0
B06ZZ6DCH3,B0160G6NF8,"Southern Marsh LS Regatta Flag,Antigua Blue,Large",4,0,0.02%,0.00%,9,0,0.03%,0.00%,100.00%,0.00%,1,0,25.00%,0.00%,$25.00,$0.00,1,0
B01MXT8NCZ,B018ZNRI0S,"Southern Marsh The Seawash Grayton Twill Pants, Coral, W28L30",9,0,0.04%,0.00%,17,0,0.06%,0.00%,100.00%,0.00%,1,0,11.11%,0.00%,$40.00,$0.00,1,0
B01LX3CC6C,B01BCPTY44,"Southern Marsh Men’s Expedition Series Tarpon T-Shirt, Short Sleeve Tee, Light Gray, Medium",19,0,0.08%,0.00%,32,0,0.11%,0.00%,100.00%,0.00%,1,0,5.26%,0.00%,$35.00,$0.00,1,0
B01LX3CC6C,B01BCPU1BE,"Southern Marsh Men’s Expedition Series Tarpon T-Shirt, Short Sleeve Tee, Light Gray, Small",11,0,0.05%,0.00%,13,0,0.04%,0.00%,100.00%,0.00%,1,0,9.09%,0.00%,$35.00,$0.00,1,0
B07DDQ14CM,B01BO6L7ZK,"Southern Marsh Men’s Expedition Series Black Bear T-Shirt, Short Sleeve Tee, Squash, Medium",2,0,0.01%,0.00%,2,0,0.01%,0.00%,100.00%,0.00%,1,0,50.00%,0.00%,$25.00,$0.00,1,0
B0768LJFS5,B01CF17S6K,"Southern Marsh Bermuda Performance Polo, Teal, Small",43,1,0.18%,0.46%,52,2,0.17%,0.74%,100.00%,0.00%,1,0,2.33%,0.00%,$37.50,$0.00,1,0
B01MUADU6S,B01CO1BGUK,Southern Marsh Regatta Shorts 8,5,0,0.02%,0.00%,5,0,0.02%,0.00%,100.00%,0.00%,1,0,20.00%,0.00%,$29.50,$0.00,1,0
B01MUADU6S,B01CYJ7098,Southern Marsh Regatta Shorts 8,2,0,0.01%,0.00%,5,0,0.02%,0.00%,100.00%,0.00%,1,0,50.00%,0.00%,$29.50,$0.00,1,0
B09D8S225H,B01DAV48R6,"Southern Marsh, Signature Coin Embroidery Hat, White, One Size",9,0,0.04%,0.00%,13,0,0.04%,0.00%,100.00%,0.00%,1,0,11.11%,0.00%,$12.00,$0.00,1,0
B00WNJ8C1U,B01FT33I24,"Southern Marsh Signature Hat, Maroon with White",5,0,0.02%,0.00%,5,0,0.02%,0.00%,100.00%,0.00%,1,0,20.00%,0.00%,$15.00,$0.00,1,0
B01MQR2JHY,B01G7G3IMW,"Southern Marsh Men's Authentic Heritage Texas T-Shirt, Short Sleeve Tee, Maroon, Small",29,0,0.12%,0.00%,33,0,0.11%,0.00%,100.00%,0.00%,1,0,3.45%,0.00%,$20.00,$0.00,1,0
B00UVV7E34,B01IPQBDEW,"Southern Marsh Regatta Shorts - 6 Flat, Colonial Navy, 34",3,0,0.01%,0.00%,6,0,0.02%,0.00%,100.00%,0.00%,1,0,33.33%,0.00%,$45.00,$0.00,1,0
